Tableau 1
image;name.primary;name.alt;price.final;price.original
https://images.footlocker.com/is/image/FLEU/314206535404?wid=500&hei=500;Nike Air Max Tuned 1;Black - Black - Black;189,99 €;
https://images.footlocker.com/is/image/FLEU/314217542704?wid=500&hei=500;Nike Air Max Tuned 1;Dk Obsidian - Blue Chill - White;199,99 €;
https://images.footlocker.com/is/image/FLEU/314216668104?wid=500&hei=500;Nike Air Max Dn;Black - Black - Black;135,00 €;169,99 €
https://images.footlocker.com/is/image/FLEU/314109328204?wid=500&hei=500;Jordan AJ4 Retro;Cave Stone - Black;209,99 €;
https://images.footlocker.com/is/image/FLEU/314217548404?wid=500&hei=500;Nike Air Max Tuned 1;Black - Green Strike - Black;189,99 €;
https://images.footlocker.com/is/image/FLEU/314217547604?wid=500&hei=500;Nike Air Max Tuned 1;Black - Black - Aurora Green;189,99 €;
https://images.footlocker.com/is/image/FLEU/314109120304?wid=500&hei=500;Jordan AJ1 Mid;Summit White - Off Noir - Rattan;110,00 €;139,99 €
https://images.footlocker.com/is/image/FLEU/314217224204?wid=500&hei=500;Nike Air Max Tuned 1;Vapor Green - Lt Lemon Twist - Malachite;120,00 €;189,99 €
https://images.footlocker.com/is/image/FLEU/314216862004?wid=500&hei=500;Nike Air Max Tuned 1;Fireberry - Black - Pure Purple;189,99 €;
https://images.footlocker.com/is/image/FLEU/314217544304?wid=500&hei=500;Nike Air Max Tuned 1;World Indigo - World Indigo - Cave;189,99 €;
https://images.footlocker.com/is/image/FLEU/314217342204?wid=500&hei=500;Nike Air Max Tuned 1;Pure Platinum - White - Univ Red;150,00 €;189,99 €
https://images.footlocker.com/is/image/FLEU/314109070004?wid=500&hei=500;Nike Air Force 1 Low;White - Deep Royal Blue;95,00 €;119,99 €
https://images.footlocker.com/is/image/FLEU/314109071804?wid=500&hei=500;Nike Air Force 1 Low;Black - White - Gum Lt Brown;100,00 €;129,99 €
https://images.footlocker.com/is/image/FLEU/314217222604?wid=500&hei=500;Nike Air Max Tuned 1;Varsity Maize - Black - Pine Green;155,00 €;199,99 €
https://images.footlocker.com/is/image/FLEU/314217549204?wid=500&hei=500;Nike Air Max Tuned 1;Black - Black - Lt Crimson;189,99 €;
https://images.footlocker.com/is/image/FLEU/314109196304?wid=500&hei=500;Nike Air Force 1 Low;Brown - Beige - Beige;83,00 €;129,99 €
https://images.footlocker.com/is/image/FLEU/314108913204?wid=500&hei=500;Nike Dunk Low;White - Lt Smoke Grey - White;119,99 €;
