id;gender;masterCategory;subCategory;articleType;baseColour;season;year;usage;productDisplayName
39988;Men;Footwear;Shoes;Casual Shoes;White;Winter;2014;Casual;Gas Men Europa White Shoes
4140;Women;Footwear;Shoes;Casual Shoes;Green;Winter;2015;Casual;Skechers Women Green Shoe
39943;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2013;Casual;GAS Men Brown Count Casual Shoes
50741;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Chief Men Black Shoes
39944;Men;Footwear;Shoes;Casual Shoes;Grey;Summer;2013;Casual;GAS Men Grey Namib Shoes
12507;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men Casual Black Casual Shoes
7364;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men's Brown casual Shoe
39972;Men;Footwear;Shoes;Casual Shoes;Grey;Summer;2013;Casual;GAS Men Grey Campus Casual Shoes
17043;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Gas Men Skate 003 Casual Shoe
32552;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Playboy Men Black Shoes
39986;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Summer;2013;Casual;Gas Men Mila Navy Blue Shoes
12509;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Casual Brown Casual Shoes
18665;Men;Footwear;Shoes;Casual Shoes;White;Summer;2013;Casual;Fila Men Syncro White Shoes
50748;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Chief Men Brown Shoes
11976;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Fila Men Paramount Plus Black Shoes
13080;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Numero Uno Men Black Casual Shoes
32555;Men;Footwear;Shoes;Casual Shoes;White;Summer;2013;Casual;Playboy Men White Shoes
39981;Men;Footwear;Shoes;Casual Shoes;Grey;Summer;2013;Casual;Gas Men Jack Grey Shoes
26531;Men;Footwear;Shoes;Casual Shoes;Olive;Summer;2013;Casual;Gas Men Arunta Olive Casual Shoes
10295;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2016;Casual;Clarks Men Brown Leather Casual Shoes
39975;Men;Footwear;Shoes;Casual Shoes;Olive;Winter;2014;Casual;Gas Men Olive Swansea Shoes
22501;Women;Footwear;Shoes;Casual Shoes;Beige;Winter;2015;Casual;Catwalk Women Beige Casual Shoes
3551;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men's Charcoal Lifestyle Shoe
3797;Men;Footwear;Shoes;Casual Shoes;Black;Spring;2014;Casual;Converse Men Black & Red Shoes
5699;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Skechers Men's Striking Black Shoe
39310;Men;Footwear;Shoes;Casual Shoes;Khaki;Winter;2018;Casual;Red Chief Men Khaki Casual Shoes
3790;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2014;Casual;Converse Men's AS Canvas HI Black Shoe
3556;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men Dark Brown Lifestyle Shoe
17683;Women;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Catwalk Women Ballerina Black Casual Shoe
3560;Men;Footwear;Shoes;Casual Shoes;White;Winter;2015;Casual;Skechers Men Off White Lifestyle Casual Shoe
5697;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Skechers Men Black Casual Shoes
30258;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Brown Shoes
53732;Women;Footwear;Shoes;Casual Shoes;Green;Winter;2014;Casual;Puma Women Green Supersuede Eco Casual Shoes
5690;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Skechers Men Valence Envoy Black Shoe
17684;Women;Footwear;Shoes;Casual Shoes;Grey;Winter;2015;Casual;Catwalk Women Ballerina Grey Casual Shoe
3593;Unisex;Footwear;Shoes;Casual Shoes;Black;Summer;2014;Casual;Converse Unisex Black Casual Shoes
3558;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men's Brown Casual Lifestyle Shoe
46825;Women;Footwear;Shoes;Casual Shoes;Off White;Winter;2015;Casual;Catwalk Women Off-White and Blue Pumps
50749;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Chief Men Brown Shoes
12508;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Casual Brown Casual Shoes
22500;Women;Footwear;Shoes;Casual Shoes;Blue;Winter;2015;Casual;Catwalk Women Blue Casual Shoes
13075;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Numero Uno Men Black Shoes
39974;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2014;Casual;Gas Men Brown Lear Shoes
7396;Men;Footwear;Shoes;Casual Shoes;Grey;Winter;2018;Casual;Red Tape Men Grey Casual Shoes
39980;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2013;Casual;Gas Men Flint Brown Shoes
32554;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Playboy Men Black Shoes
21715;Women;Footwear;Shoes;Casual Shoes;Blue;Winter;2015;Casual;Catwalk Women Blue Casual Shoes
26530;Men;Footwear;Shoes;Casual Shoes;Purple;Spring;2013;Casual;Gas Men Aishley Greyish Purple Casual Shoes
26537;Men;Footwear;Shoes;Casual Shoes;Blue;Winter;2015;Casual;ID Men Blue Shoes
39987;Men;Footwear;Shoes;Casual Shoes;Blue;Spring;2013;Casual;Gas Men Europa Blue Shoes
32553;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2013;Casual;Playboy Men Brown Shoes
39973;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2014;Casual;Gas Men Brown Lear Shoes
7365;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men's Black Casual Shoe
50778;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Spring;2013;Casual;Clarks Men Navy Leather Sneakers
12506;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Brown Shoes
50747;Men;Footwear;Shoes;Casual Shoes;Mushroom Brown;Winter;2018;Casual;Red Chief Men Mushroom Brown Shoes
39945;Men;Footwear;Shoes;Casual Shoes;Brown;Spring;2013;Casual;GAS Men Brown Namib Shoes
20868;Men;Footwear;Shoes;Casual Shoes;White;Summer;2013;Casual;Fila Men Stradd White Casual Shoes
39989;Men;Footwear;Shoes;Casual Shoes;Blue;Summer;2013;Casual;Gas Men Skate Blue Shoes
22536;Men;Footwear;Shoes;Casual Shoes;Green;Spring;2013;Casual;Gas Men Skate Green Casual Shoes
39942;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Summer;2013;Casual;Gas Men Navy Blue Shoes
24251;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Numero Uno Men Black Casual Shoes
3592;Men;Footwear;Shoes;Casual Shoes;Blue;Summer;2013;Casual;Converse Men's All Star Canvas Ox Navy Blue Shoe
5691;Men;Footwear;Shoes;Casual Shoes;White;Winter;2015;Casual;Skechers Men's Regions Off White Shoe
3559;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men's Casual Brown Lifestyle Shoe
3561;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Skechers Men's Zeta Black Lifestyle Casual Shoe
5696;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men Genesis Brown Shoe
56410;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2013;Casual;GAS Men Brown Casual Shoes
17682;Women;Footwear;Shoes;Casual Shoes;Blue;Winter;2015;Casual;Catwalk Women Closed Blue Casual Shoe
30259;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Winter;2018;Casual;Red Tape Men Navy Blue Shoes
41834;Men;Footwear;Shoes;Casual Shoes;Black;Spring;2013;Casual;Skechers Men Black Shoes
3798;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Spring;2013;Casual;Converse Men's As Canvas Ox Navy Blue Shoe
3557;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Skechers Men Black Lifestyle Casual Shoes
